"","번호","계정이름","작성일","내용"
"1873",1873,"odettejoo","11/1/2012","북한은 즉각 대선 개입을 중단하라!
07년 반미, 반보수, 진보대연합 투쟁을 독려한데 이어
올해에도 ""대선에서 친미보수역적패당을 철저히 매장하라""는 투쟁 지령 하달과 

특정후보를 비난하는 등 대선개입도 대물림하고 있네~~"
"1874",1874,"sshinbal","11/1/2012","종북당의 종북이 짓이 극악에 달하는갑다.  간첩잡는 경찰들의 인원을 제출하랬단다. 국개의원이 뭐하는데 간첩잡는 형사들의 인원파악을하는가?  역시 종북들 답구나. 이래서 선거를 잘 해야한다는거다. 종북이까지  국개의원을 만드는 세상이 한탄스럽구나"
"1875",1875,"taesan4","11/1/2012","민주당 청년비례대표인 장하나 의원이 제주해군기지를 '제주 해적부대'로 폄하했네요...해적녀 시즌2 개봉 !!!"
"1876",1876,"taesan4","11/1/2012","민주화운동 했다고는 하지만 군대도 다녀오지 않은 정청래 의원이 국회 국방위원이 되서 군 장성들을 꾸짖고, 노크귀순 병사 라면접대를 비난하는 모습을 보니 참 헛웃음만 나온다..."
"1877",1877,"type0789","11/1/2012","이번 대법원의 판결을 계기로 다시 한번 우리 국민들의 안보의식을 짚어보고 어리석은 종북행태나 이적행위를 보이는 일이 없도록 우리 자신과 주변을 둘러보아야 할 것이다."
"1878",1878,"xountkim","11/1/2012","해병대 출신 김모씨, 인도네시아서 북 공작원에 포섭 대법, 찬양고무 무죄 선고한 원심 파기환송 재판부, 생일축하 편지 ‘종북적’ 내용 담고 있으면 찬양고무죄 적용.. 오랜만에 보는 명판결이다"
"1879",1879,"yesstory365","11/1/2012","천안함과 연평해전 유족분들의 울분을 충분히 이해합니다. 0.1%도 안되는 종북들이 내 조국 대한민국을 농단하려고 온갖 궤변으로 설쳐대고 있습니다. 그러나 99%이상의 국민들은 NLL을 분명히 우리의 영토선으로 인식하고 있으며, 반드시 지켜낼 것입니다."
"1880",1880,"yesstory365","11/1/2012","점점 북의 선거개입의 양과 속도가 증가하네. 이에따라 종북좀비들이 계속 세끼를 치구 있구나! 북의 개입이 지들 지지 정파에 유리하니깐 꿀먹은 벙어리 마냥 가만히 있고 정부가 북 NLL침범에 강력대응하면 대선용 북풍조작으로 몰아가는 친북질을 하고있네"
"1881",1881,"zmfpfm","11/1/2012","세계가 눈만 뜨면 경쟁하는 세상에 전교조는 경쟁교육이 학생들 인성을 황폐화 시킨다며 평등, 평준화 경쟁 없는 교육을 외치며 거리에서 시위를 벌이고 있네요. 이런 전교조와 궤를 같이하는 좌파교육감의 출현을 막는것이 제대로된 교육을 위한 첫걸음인게죠."
"1882",1882,"gubonsu","11/2/2012","만약에 지금 나꼼수가 있어서 우리 대한민국을 향하여 선동을 하고 있다면 그 파장은 엄청날것이다, 흔한말로 혹세무민이라 한다, 왜 혹세무민에 혹~~하는가?? 그만큼 사회가 건실하지 못하다는것이다, 그만큼 불안하다는 얘기다, 정치인들은 정신차려야한다"
"1883",1883,"hokang52","11/2/2012","우리나라의 종북좌파들은 모순과 기만으로 가득 찬 삶을 살고 있다. 입만 열면 기득권 시스템을 비난하지만 정작 자신은 그 기득권 구조의 단물을 향유하며 사는 데 조금의 민망함도 느끼지 않고 있다"
"1884",1884,"hokang52","11/2/2012","기고만장한 종북이의 대나댐!  간첩잡는 경찰들의 명단을 제출하라니, 이젠 대놓고 종북질이구나!"
"1885",1885,"hoobaek","11/2/2012","RT @###ang52모 국회의원이 보안경찰 실명 명단을 요구한 것은 ‘의정(議政)상륙 교두보’에 비유돼온 제19대 국회 일각의 종북세력에 보내는 암약 본격화 시그널일 수 있다."
"1886",1886,"jogisic","11/2/2012","종북세력을 구별하는 방법은::  북한 김정은 3대 세습과 처참한 인권상황에 대해서도 절대 비판하지 못하고 북한 비판하는 사람에게 오히려 화를 내고 우리 애국가도 부르지 않으면서 우리 정부 욕하는데만 열을 내는 그런 특징을 가지고 있습니다"
"1887",1887,"jogisic","11/2/2012","요즘 우리사회에 ""종북세력""이란 말이 보통명사가 되서 많이들 회자되는데 그 뜻은 :: 대한민국의 국가 정통성과 자유민주주의 체제를 부정또는 경시하고, 북한의 사회주의 노선과 주체사상을 추종하거나 북한 주장에 동조하는 친북세력을 뜻한다"
"1888",1888,"jogisic","11/2/2012","우리 사회에는 북한을 대한민국 보다 더 사랑하는 종북세력이 분명이 있는데 김광진 의원처럼  ""북한이 더 믿음이 간다""는 친구도 있고 임수경 처럼 우리 대통령을 막말로 욕한 북한 트윗을 리트윗하는 의원이 바로 그런 부류이다"
"1889",1889,"jogisic","11/2/2012","종북세력들은 국보법의 존재를 들어 우리사회가 아직 민주화가 덜됐고 양심의 자유를 억압한다고 떠들고 있으나 실상은 정반대다. 솔직히 국보법 때문에 불편한 사람은 누구인가? 그리고 우리나라만큼 반체제 운동가들에게 관대한 나라도 없다"
"1890",1890,"jogisic","11/2/2012","남측 집권세력들은 연일 그 무슨 NL문제를 들고 나오면서 어떻게든 서해바다를 전쟁터로 만들려는 노골적인 전쟁기도를 마구 쏟아내고 있다.  윗글 누가 썼는지 아십니까? 꼭 북한 중앙방송 논평 같지요. 근데 사실은 범민련 남측본부에서 쓴 것입니다"
"1891",1891,"jogisic","11/2/2012","그런데 참으로 개탄스러운 것은 이런 이적질 하는 범민련 같은 단체가 한국 인터넷에 &amp;lt;조국통일범민족연합 남측본부&amp;gt;라는 거창한 간판을 달고 선전활동을 하고 있다는 것이다. 대법원에서 이적단체 판결까지 받았는데 말이다"
"1892",1892,"kiminhye0","11/2/2012","대한민국체제와 헌정질서를 파괴하고 종북에 목숨을 거는 일파들과 결연한 투쟁 에 나서야 한다. 북한 김정일과 노동당에 충성하는 자들을 대한민국 국민으로 인정하고 그들과 함께 살아갈 수는 없다"
"1893",1893,"kiminhye0","11/2/2012","북한 주민들을 굶기는 것은 군량미를 틀어쥐고 북한 지도층만 배불리 먹이는 김정일과 그런 김정일을 칭송하는 남한 친북좌파이다"
"1894",1894,"kiminhye0","11/2/2012","종북좌익세력들은 현정부와 자본주의를 타도해야 할 적(敵)으로 간주하고 있습니다. 반면 북한 김정일정권에 대해서는 매우 우호적입니다. 이는 대한민국의 자유 민주주의체제와 국가정통성을 정면으로 부정하는 시각인 것입니다."
"1895",1895,"kiminhye0","11/2/2012","종북좌파들에게 되묻는다. 대한민국마저 북한처럼 굶어죽는 나라로 만드는 것이 소원인가. 민노당이나 진보연대, 참여연대 등등, 정당과 사회단체에 스며든 종북 독소들은 우리의 숨통을 끊어놓으려 하고 있다"
"1896",1896,"kiminhye0","11/2/2012","천안함, 연평도 등 계속되는 북한의 도발을 보면 그동안 좌파정권이 퍼준 자금(국민세금)이 총알이 되어 우리 선량한 국민 가슴에 박혔다는 사실을 알 수 있다"
"1897",1897,"kiminhye0","11/2/2012","9.11때 미국은 정치인, 군인, 민간인, 단체 등 온국민이 하나가되어 움직이는 강한 면모를 보였다. 그러나 우리는 천안함,연평도 사건이 터졌을때 모든 좌파인사와 좌파단체들이 약속이라도 한 듯 북한편을 들었다"
"1898",1898,"kiminhye0","11/2/2012","반정부 시위는 종북좌익들의 주특기인데 유독 미국과 연관된 일에서 강하다. 반면 금강산 관광객 피살, 천안함, 연평도 등 북한에 의해 우리 국민이 죽거나 다친 사건에 대해 저들은 단 한 번도 시위를 안했다"
"1899",1899,"kiminhye0","11/2/2012","전교조에 세뇌된 청소년들은 이유도 모르고 미국은 나쁜 나라고 북한은 우리 민족이니까 도와줘야 한다고 생각하게 된다. 자신의 의지와 무관하게 사상이 선동된 것이다. 이는 대한민국의 잠재적인 위협이다."
"1900",1900,"kiminhye0","11/2/2012","과거 종북좌익세력들은 민주화운동세력으로 위장했으나, 이제는 그들의 활동이 공산주의혁명운동이라는 사실을 숨기지 않는다. 이들의 사상적 근간은 주체사상과 이미 폐기처분된 맑스레닌주의이며 그 뒤에는 바로 북한이 있다"
"1901",1901,"kiminhye0","11/2/2012","친북(親北), 종북(從北) 세력들은 좌파 정권 10년 동안 햇볕정책의 산물인 안보 불감증을 자양분 삼아 뿌리내린 뒤, 이제는 대한민국 체제 붕괴를 노리고 있다."
"1902",1902,"kiminhye0","11/2/2012","사이버 공간의 친북,종북 행태도 위험 수위를 넘어섰다. 각종 사이트와 트위터, 유튜브 등을 통해 김일성 주체사상과 김정일 선군정치, 핵무장과 미군 철수를 지지 하는 글을 쉽게 찾아볼 수 있다."
"1903",1903,"kiminhye0","11/2/2012","햇볕이라는 당근은 결국 북한 김정일 체제유지를 더 확고하게 만든 정권연장 수단에 악용되었을 뿐 우리에게 평화를 가져다 주지 못했다. 더 이상은 좌파정권때처럼 북한 의도에 끌려다녀서는 안된다"
"1904",1904,"kiminhye0","11/2/2012","2000년 이후 대법원에 의해 이적단체로 판결받은 단체는 남북공동선언실천연대, 한국청년단체협의회, 범민련 남측본부, 한총련, 진보와 통일로 가는 서울민주노동 자회(서민노회) 등 15개나 된다"
"1905",1905,"kiminhye0","11/2/2012","종북세력들은 의식화 단계는 물론 조직화 단계를 지나 체제전복까지 노릴 정도로 커졌다는게 전문가들 분석이다. 재야에서 활동하던 친북좌파 세력들은 615 선언 을 계기로 제도권에 안착해 국회와 청와대 핵심부까지 진출했다"
"1906",1906,"kiminhye0","11/2/2012","천안함,연평도 사건은 공분해야할 우리민족의 비극이지만 이를 통해서 젊은이는 물론 초등학생까지 포함하는 새롭고 젊은 안보세력이 형성되고 있다는 점은 그나마 다행스런 일이라고 할수 있다"
"1907",1907,"kyungju777","11/2/2012","북한이 호국훈련중단 하라니까 남한 종북이들이 일제히  입을 맞춘듯 장단을 착착 맞춰주고 있다. 누가 종북이들 아니랄까봐 북한에서 하는 얘기에 장단을 맞춰줄까? 그래서 종북이들이다. 남한 빨갱이 들은 종북이 들이다"
"1908",1908,"lemimietoile","11/2/2012","종북세력들의 국보법 무력화 선동으로 그간 국보법 적용이 많이 유명무실화되었었다

하지만 대법원에서 사태의 심각성을 느낀 것으로 보인다"
"1909",1909,"maesong21","11/2/2012","RT @###ang52종북의원이 또하나 불거져나왔다, 한 야당의원은 서울지방경찰청 국정감사를 앞두고‘국가보안법 시험’자료를 요청하면서 응시한 보안경찰 176명의 성명과 계급·소속·점수 등을 포함시켰다. 도대체 그런 자료가 왜 필요한지 이해가 안된다"
"1910",1910,"nudlenudle","11/2/2012","비록 사실이 아니지만 '김정남 망명 요청설'에 종북세력이 자신들의 실체가 드러날까봐 전전긍긍하겠지... 김일성 손자도 북한이 싫다는데 종북들만 몰락하는 북한을 떠 받들고 있는 현실 이 개탄스럽네여!"
"1911",1911,"nudlenudle","11/2/2012","대법원이 김정일 생일축하 편지를 보낸 행위에 대해 '국보법 위반'이라는 판결을 했다네요. 이번 판결로 민주 주의 기본질서를 위태롭게하는 종북 세력들에 대한 척결이 반드시 필요 하다는 생각이 또 드네요"
"1912",1912,"nudlenudle","11/2/2012","때중이 무현이는 자기돈 아니라고 함 몰래 퍼주고, 낭비하고, 그렇게 해서 얻은게 무엇인가요? 천안함에서 젊은 국군장병들이 목숨을 잃고, 연평도 에서 무고한 국민들이 피해를 입고... 그래도 계속  퍼줘야 한다는 인간들은 진정 대한민국 국민이 맞냐구요?"
"1913",1913,"rmsprm22","11/2/2012","북한은 핵위협으로 우리 국민들의 전쟁불안감을 자극하고 남남갈등을 조장해 정부의 대북 지원을 압박하고 있다. 우리의 사과 요구와 당연한 대응을 '전쟁위협'으로 몰아 남한내 종북세력의 반정부 투쟁을 '전쟁 대 평화' 구도로 위장하려는 의도"
"1914",1914,"sarangni2","11/2/2012","대법원이 제주복합미항에 대해 적법 판결을 내렸음에도 종북세력들은 전쟁이냐 평화냐라는 이분법적 논리로 내년도 '예산 완전 삭감'을 선동중이다. 대한민국의 법과 안보는 뒷전이고 자신의 투쟁노선을 그대로 유지하는 저들 모습이 이해가 안간다."
"1915",1915,"shore0987","11/2/2012","어떤 종북이가 말도 잘하네요, 내년에 반민특위 시즌3를 구성하자 ㅎㅎ여순반란도제주4.3사건 반란을 지시한 이승만정권에 항거하기위해서 반란을 일으켰다는 등등, 종북이들의 논리는 그냥 들으면 맞는 말인듯 하나, 결국은 틀린말이고 거짓말을 하고 있다"
